trip_id,organization_name,is_operator
121120000308904613,Nobina Sverige AB,1
121120000308904730,Nobina Sverige AB,1
121120000308904789,Nobina Sverige AB,1
121120000308904907,Nobina Sverige AB,1
121120000308905025,Nobina Sverige AB,1
121120000308905320,Nobina Sverige AB,1
121120000308905497,Nobina Sverige AB,1
121120000308905969,Nobina Sverige AB,1
121120000308906583,Nobina Sverige AB,1
121120000308906641,Nobina Sverige AB,1
121120000308906670,Nobina Sverige AB,1
121120000308906815,Nobina Sverige AB,1
121120000308907282,Nobina Sverige AB,1
121120000308907341,Nobina Sverige AB,1
121120000308907399,Nobina Sverige AB,1
121120000308907591,Nobina Sverige AB,1
121120000308907639,Nobina Sverige AB,1
121120000308907735,Nobina Sverige AB,1
121120000308907831,Nobina Sverige AB,1
121120000308896619,Nobina Sverige AB,1
121120000308896899,Nobina Sverige AB,1
121120000308897073,Nobina Sverige AB,1
121120000308897537,Nobina Sverige AB,1
121120000308897653,Nobina Sverige AB,1
121120000308897711,Nobina Sverige AB,1
121120000308897827,Nobina Sverige AB,1
121120000308897885,Nobina Sverige AB,1
121120000308898039,Nobina Sverige AB,1
121120000308898097,Nobina Sverige AB,1
121120000308898329,Nobina Sverige AB,1
121120000308898619,Nobina Sverige AB,1
121120000308898735,Nobina Sverige AB,1
121120000308898851,Nobina Sverige AB,1
121120000308899766,Nobina Sverige AB,1
121120000308899898,Nobina Sverige AB,1
121120000308900073,Nobina Sverige AB,1
121120000308900131,Nobina Sverige AB,1
121120000308900531,Nobina Sverige AB,1
121120000308900678,Nobina Sverige AB,1
121120000308900798,Nobina Sverige AB,1
121120000308900896,Nobina Sverige AB,1
121120000308901010,Nobina Sverige AB,1
121120000308901449,Nobina Sverige AB,1
121120000308901951,Nobina Sverige AB,1
121120000308902016,Nobina Sverige AB,1
121120000308902081,Nobina Sverige AB,1
121120000308902233,Nobina Sverige AB,1
121120000308902787,Nobina Sverige AB,1
121120000308902904,Nobina Sverige AB,1
121120000308903196,Nobina Sverige AB,1
121120000308903443,Nobina Sverige AB,1
121120000308903628,Nobina Sverige AB,1
121120000308903766,Nobina Sverige AB,1
121120000308903859,Nobina Sverige AB,1
121120000308903953,Nobina Sverige AB,1
121120000308904094,Nobina Sverige AB,1
121120000308904200,Nobina Sverige AB,1
121120000308904318,Nobina Sverige AB,1
121120000308904671,Nobina Sverige AB,1
121120000308904966,Nobina Sverige AB,1
121120000308905084,Nobina Sverige AB,1
121120000308905261,Nobina Sverige AB,1
121120000308905379,Nobina Sverige AB,1
121120000308905556,Nobina Sverige AB,1
121120000308905674,Nobina Sverige AB,1
121120000308906322,Nobina Sverige AB,1
121120000308906525,Nobina Sverige AB,1
121120000308906554,Nobina Sverige AB,1
121120000308906931,Nobina Sverige AB,1
121120000308906989,Nobina Sverige AB,1
121120000308907047,Nobina Sverige AB,1
121120000308907164,Nobina Sverige AB,1
121120000308907687,Nobina Sverige AB,1
121120000308907783,Nobina Sverige AB,1
121120000308907976,Nobina Sverige AB,1
121120000308896331,Nobina Sverige AB,1
121120000308896427,Nobina Sverige AB,1
121120000308896523,Nobina Sverige AB,1
121120000308896725,Nobina Sverige AB,1
121120000308896783,Nobina Sverige AB,1
121120000308896957,Nobina Sverige AB,1
121120000308897189,Nobina Sverige AB,1
121120000308897305,Nobina Sverige AB,1
121120000308897769,Nobina Sverige AB,1
121120000308897943,Nobina Sverige AB,1
121120000308897991,Nobina Sverige AB,1
121120000308898503,Nobina Sverige AB,1
121120000308898677,Nobina Sverige AB,1
121120000308898909,Nobina Sverige AB,1
121120000308899471,Nobina Sverige AB,1
121120000308899530,Nobina Sverige AB,1
121120000308899839,Nobina Sverige AB,1
121120000308896233,Nobina Sverige AB,1
121120000308896475,Nobina Sverige AB,1
121120000308896571,Nobina Sverige AB,1
121120000308896841,Nobina Sverige AB,1
121120000308897015,Nobina Sverige AB,1
121120000308897131,Nobina Sverige AB,1
121120000308897247,Nobina Sverige AB,1
121120000308897421,Nobina Sverige AB,1
121120000308898155,Nobina Sverige AB,1
121120000308898271,Nobina Sverige AB,1
121120000308898793,Nobina Sverige AB,1
121120000308898967,Nobina Sverige AB,1
121120000308899025,Nobina Sverige AB,1
121120000308899083,Nobina Sverige AB,1
121120000308899257,Nobina Sverige AB,1
121120000308899707,Nobina Sverige AB,1
121120000308899957,Nobina Sverige AB,1
121120000308900305,Nobina Sverige AB,1
121120000308900482,Nobina Sverige AB,1
121120000308900749,Nobina Sverige AB,1
121120000308900946,Nobina Sverige AB,1
121120000308901302,Nobina Sverige AB,1
121120000308901694,Nobina Sverige AB,1
121120000308901742,Nobina Sverige AB,1
121120000308902117,Nobina Sverige AB,1
121120000308902146,Nobina Sverige AB,1
121120000308902175,Nobina Sverige AB,1
121120000308902320,Nobina Sverige AB,1
121120000308902349,Nobina Sverige AB,1
121120000308902407,Nobina Sverige AB,1
121120000308902494,Nobina Sverige AB,1
121120000308902728,Nobina Sverige AB,1
121120000308902845,Nobina Sverige AB,1
121120000308902962,Nobina Sverige AB,1
121120000308903021,Nobina Sverige AB,1
121120000308903255,Nobina Sverige AB,1
121120000308903302,Nobina Sverige AB,1
121120000308903536,Nobina Sverige AB,1
121120000308903582,Nobina Sverige AB,1
121120000308903720,Nobina Sverige AB,1
121120000308904047,Nobina Sverige AB,1
121120000308904436,Nobina Sverige AB,1
121120000308905202,Nobina Sverige AB,1
121120000308905792,Nobina Sverige AB,1
121120000308905851,Nobina Sverige AB,1
121120000308906028,Nobina Sverige AB,1
121120000308906205,Nobina Sverige AB,1
121120000308906303,Nobina Sverige AB,1
121120000308906380,Nobina Sverige AB,1
121120000308906438,Nobina Sverige AB,1
121120000308906467,Nobina Sverige AB,1
121120000308906496,Nobina Sverige AB,1
121120000308906699,Nobina Sverige AB,1
121120000308906873,Nobina Sverige AB,1
121120000308907105,Nobina Sverige AB,1
121120000308907879,Nobina Sverige AB,1
121120000308900015,Nobina Sverige AB,1
121120000308900189,Nobina Sverige AB,1
121120000308900247,Nobina Sverige AB,1
121120000308900423,Nobina Sverige AB,1
121120000308900629,Nobina Sverige AB,1
121120000308900847,Nobina Sverige AB,1
121120000308901204,Nobina Sverige AB,1
121120000308901547,Nobina Sverige AB,1
121120000308901886,Nobina Sverige AB,1
121120000308902291,Nobina Sverige AB,1
121120000308902378,Nobina Sverige AB,1
121120000308902436,Nobina Sverige AB,1
121120000308902611,Nobina Sverige AB,1
121120000308903079,Nobina Sverige AB,1
121120000308903349,Nobina Sverige AB,1
121120000308903396,Nobina Sverige AB,1
121120000308903812,Nobina Sverige AB,1
121120000308904000,Nobina Sverige AB,1
121120000308904259,Nobina Sverige AB,1
121120000308904377,Nobina Sverige AB,1
121120000308904495,Nobina Sverige AB,1
121120000308904848,Nobina Sverige AB,1
121120000308905143,Nobina Sverige AB,1
121120000308905438,Nobina Sverige AB,1
121120000308905615,Nobina Sverige AB,1
121120000308905733,Nobina Sverige AB,1
121120000308905910,Nobina Sverige AB,1
121120000308906087,Nobina Sverige AB,1
121120000308906146,Nobina Sverige AB,1
121120000308906254,Nobina Sverige AB,1
121120000308906351,Nobina Sverige AB,1
121120000308906409,Nobina Sverige AB,1
121120000308906612,Nobina Sverige AB,1
121120000308906728,Nobina Sverige AB,1
121120000308906757,Nobina Sverige AB,1
121120000308907223,Nobina Sverige AB,1
121120000308907447,Nobina Sverige AB,1
121120000308907495,Nobina Sverige AB,1
121120000308907543,Nobina Sverige AB,1
121120000308907928,Nobina Sverige AB,1
121120000311168025,Nobina Sverige AB,1
121120000311168103,Nobina Sverige AB,1
121120000311168129,Nobina Sverige AB,1
121120000311168155,Nobina Sverige AB,1
121120000311168493,Nobina Sverige AB,1
121120000311168761,Nobina Sverige AB,1
121120000311168813,Nobina Sverige AB,1
121120000311168841,Nobina Sverige AB,1
121120000311168869,Nobina Sverige AB,1
121120000311169051,Nobina Sverige AB,1
121120000311169093,Nobina Sverige AB,1
121120000311169353,Nobina Sverige AB,1
121120000311169431,Nobina Sverige AB,1
121120000311169569,Nobina Sverige AB,1
121120000311169612,Nobina Sverige AB,1
121120000311169698,Nobina Sverige AB,1
121120000311169767,Nobina Sverige AB,1
121120000311169871,Nobina Sverige AB,1
121120000311169949,Nobina Sverige AB,1
121120000311169975,Nobina Sverige AB,1
121120000311170053,Nobina Sverige AB,1
121120000311170261,Nobina Sverige AB,1
121120000311170287,Nobina Sverige AB,1
121120000311170339,Nobina Sverige AB,1
121120000311170443,Nobina Sverige AB,1
121120000311170495,Nobina Sverige AB,1
121120000311170521,Nobina Sverige AB,1
121120000311170651,Nobina Sverige AB,1
121120000311171067,Nobina Sverige AB,1
121120000311171145,Nobina Sverige AB,1
121120000311171223,Nobina Sverige AB,1
121120000311171301,Nobina Sverige AB,1
121120000311171457,Nobina Sverige AB,1
121120000311171535,Nobina Sverige AB,1
121120000311171561,Nobina Sverige AB,1
121120000311171587,Nobina Sverige AB,1
121120000311171665,Nobina Sverige AB,1
121120000311171691,Nobina Sverige AB,1
121120000311171925,Nobina Sverige AB,1
121120000311171951,Nobina Sverige AB,1
121120000311171977,Nobina Sverige AB,1
121120000311172055,Nobina Sverige AB,1
121120000311172081,Nobina Sverige AB,1
121120000311172159,Nobina Sverige AB,1
121120000311172185,Nobina Sverige AB,1
121120000311172473,Nobina Sverige AB,1
121120000311172499,Nobina Sverige AB,1
121120000311172915,Nobina Sverige AB,1
121120000311172967,Nobina Sverige AB,1
121120000311173045,Nobina Sverige AB,1
121120000311173123,Nobina Sverige AB,1
121120000311173487,Nobina Sverige AB,1
121120000311173615,Nobina Sverige AB,1
121120000311173697,Nobina Sverige AB,1
121120000311173777,Nobina Sverige AB,1
121120000311173985,Nobina Sverige AB,1
121120000311174063,Nobina Sverige AB,1
121120000311167921,Nobina Sverige AB,1
121120000311167947,Nobina Sverige AB,1
121120000311168051,Nobina Sverige AB,1
121120000311168181,Nobina Sverige AB,1
121120000311168259,Nobina Sverige AB,1
121120000311168363,Nobina Sverige AB,1
121120000311168571,Nobina Sverige AB,1
121120000311168679,Nobina Sverige AB,1
121120000311168707,Nobina Sverige AB,1
121120000311169145,Nobina Sverige AB,1
121120000311169197,Nobina Sverige AB,1
121120000311169327,Nobina Sverige AB,1
121120000311169405,Nobina Sverige AB,1
121120000311169457,Nobina Sverige AB,1
121120000311169526,Nobina Sverige AB,1
121120000311169655,Nobina Sverige AB,1
121120000311169793,Nobina Sverige AB,1
121120000311169819,Nobina Sverige AB,1
121120000311170131,Nobina Sverige AB,1
121120000311170313,Nobina Sverige AB,1
121120000311170365,Nobina Sverige AB,1
121120000311170547,Nobina Sverige AB,1
121120000311170573,Nobina Sverige AB,1
121120000311170781,Nobina Sverige AB,1
121120000311171405,Nobina Sverige AB,1
121120000311171639,Nobina Sverige AB,1
121120000311171717,Nobina Sverige AB,1
121120000311171743,Nobina Sverige AB,1
121120000311171847,Nobina Sverige AB,1
121120000311171899,Nobina Sverige AB,1
121120000311172003,Nobina Sverige AB,1
121120000311172289,Nobina Sverige AB,1
121120000311172603,Nobina Sverige AB,1
121120000311172733,Nobina Sverige AB,1
121120000311172785,Nobina Sverige AB,1
121120000311172811,Nobina Sverige AB,1
121120000311172889,Nobina Sverige AB,1
121120000311173149,Nobina Sverige AB,1
121120000311173175,Nobina Sverige AB,1
121120000311173253,Nobina Sverige AB,1
121120000311173461,Nobina Sverige AB,1
121120000311173585,Nobina Sverige AB,1
121120000311173641,Nobina Sverige AB,1
121120000311173803,Nobina Sverige AB,1
121120000311173829,Nobina Sverige AB,1
121120000311173907,Nobina Sverige AB,1
121120000311167895,Nobina Sverige AB,1
121120000311167973,Nobina Sverige AB,1
121120000311168233,Nobina Sverige AB,1
121120000311168441,Nobina Sverige AB,1
121120000311168467,Nobina Sverige AB,1
121120000311168519,Nobina Sverige AB,1
121120000311168545,Nobina Sverige AB,1
121120000311168597,Nobina Sverige AB,1
121120000311168925,Nobina Sverige AB,1
121120000311168967,Nobina Sverige AB,1
121120000311169009,Nobina Sverige AB,1
121120000311169119,Nobina Sverige AB,1
121120000311169301,Nobina Sverige AB,1
121120000311169379,Nobina Sverige AB,1
121120000311169483,Nobina Sverige AB,1
121120000311169741,Nobina Sverige AB,1
121120000311170001,Nobina Sverige AB,1
121120000311170105,Nobina Sverige AB,1
121120000311170209,Nobina Sverige AB,1
121120000311170469,Nobina Sverige AB,1
121120000311170677,Nobina Sverige AB,1
121120000311170703,Nobina Sverige AB,1
121120000311170729,Nobina Sverige AB,1
121120000311170755,Nobina Sverige AB,1
121120000311170833,Nobina Sverige AB,1
121120000311170885,Nobina Sverige AB,1
121120000311170911,Nobina Sverige AB,1
121120000311170937,Nobina Sverige AB,1
121120000311170989,Nobina Sverige AB,1
121120000311171119,Nobina Sverige AB,1
121120000311171197,Nobina Sverige AB,1
121120000311171249,Nobina Sverige AB,1
121120000311171275,Nobina Sverige AB,1
121120000311171379,Nobina Sverige AB,1
121120000311171483,Nobina Sverige AB,1
121120000311171509,Nobina Sverige AB,1
121120000311171613,Nobina Sverige AB,1
121120000311171795,Nobina Sverige AB,1
121120000311171821,Nobina Sverige AB,1
121120000311171873,Nobina Sverige AB,1
121120000311172107,Nobina Sverige AB,1
121120000311172133,Nobina Sverige AB,1
121120000311172211,Nobina Sverige AB,1
121120000311172237,Nobina Sverige AB,1
121120000311172263,Nobina Sverige AB,1
121120000311172367,Nobina Sverige AB,1
121120000311172421,Nobina Sverige AB,1
121120000311172447,Nobina Sverige AB,1
121120000311172525,Nobina Sverige AB,1
121120000311172577,Nobina Sverige AB,1
121120000311172655,Nobina Sverige AB,1
121120000311172759,Nobina Sverige AB,1
121120000311172837,Nobina Sverige AB,1
121120000311172863,Nobina Sverige AB,1
121120000311172941,Nobina Sverige AB,1
121120000311173019,Nobina Sverige AB,1
121120000311173071,Nobina Sverige AB,1
121120000311173227,Nobina Sverige AB,1
121120000311173279,Nobina Sverige AB,1
121120000311173331,Nobina Sverige AB,1
121120000311173409,Nobina Sverige AB,1
121120000311173435,Nobina Sverige AB,1
121120000311173515,Nobina Sverige AB,1
121120000311173669,Nobina Sverige AB,1
121120000311173855,Nobina Sverige AB,1
121120000311173881,Nobina Sverige AB,1
121120000311173933,Nobina Sverige AB,1
121120000311173959,Nobina Sverige AB,1
121120000311174011,Nobina Sverige AB,1
121120000311167869,Nobina Sverige AB,1
121120000311167999,Nobina Sverige AB,1
121120000311168077,Nobina Sverige AB,1
121120000311168207,Nobina Sverige AB,1
121120000311168285,Nobina Sverige AB,1
121120000311168311,Nobina Sverige AB,1
121120000311168337,Nobina Sverige AB,1
121120000311168389,Nobina Sverige AB,1
121120000311168415,Nobina Sverige AB,1
121120000311168623,Nobina Sverige AB,1
121120000311168651,Nobina Sverige AB,1
121120000311168735,Nobina Sverige AB,1
121120000311168787,Nobina Sverige AB,1
121120000311168897,Nobina Sverige AB,1
121120000311169171,Nobina Sverige AB,1
121120000311169223,Nobina Sverige AB,1
121120000311169249,Nobina Sverige AB,1
121120000311169275,Nobina Sverige AB,1
121120000311169845,Nobina Sverige AB,1
121120000311169897,Nobina Sverige AB,1
121120000311169923,Nobina Sverige AB,1
121120000311170027,Nobina Sverige AB,1
121120000311170079,Nobina Sverige AB,1
121120000311170157,Nobina Sverige AB,1
121120000311170183,Nobina Sverige AB,1
121120000311170235,Nobina Sverige AB,1
121120000311170391,Nobina Sverige AB,1
121120000311170417,Nobina Sverige AB,1
121120000311170599,Nobina Sverige AB,1
121120000311170625,Nobina Sverige AB,1
121120000311170807,Nobina Sverige AB,1
121120000311170859,Nobina Sverige AB,1
121120000311170963,Nobina Sverige AB,1
121120000311171015,Nobina Sverige AB,1
121120000311171041,Nobina Sverige AB,1
121120000311171093,Nobina Sverige AB,1
121120000311171171,Nobina Sverige AB,1
121120000311171327,Nobina Sverige AB,1
121120000311171353,Nobina Sverige AB,1
121120000311171431,Nobina Sverige AB,1
121120000311171769,Nobina Sverige AB,1
121120000311172029,Nobina Sverige AB,1
121120000311172315,Nobina Sverige AB,1
121120000311172341,Nobina Sverige AB,1
121120000311172393,Nobina Sverige AB,1
121120000311172551,Nobina Sverige AB,1
121120000311172629,Nobina Sverige AB,1
121120000311172681,Nobina Sverige AB,1
121120000311172707,Nobina Sverige AB,1
121120000311172993,Nobina Sverige AB,1
121120000311173097,Nobina Sverige AB,1
121120000311173201,Nobina Sverige AB,1
121120000311173305,Nobina Sverige AB,1
121120000311173357,Nobina Sverige AB,1
121120000311173383,Nobina Sverige AB,1
121120000311173725,Nobina Sverige AB,1
121120000311173751,Nobina Sverige AB,1
